Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings
-0.0004095186629647594,0.0007245752634320964,0.0012248052422628353,0.00026915078878297737,7.964426245471933e-06,1.832010159339566e-05,-0.00023280027428791502,0.0776811699462259
-0.0002805204608439629,0.0007173969768399281,0.003264872698571816,0.0,0.00032517594776308213,0.0010149756965955692,-0.00022721554798697417,0.03214285918623332
7.028115568890483e-08,0.0,1.6593852706016208e-05,0.0,0.0,0.0,3.181509059328189e-07,0.0011021040954099113
1.2103095495651033e-07,0.0,1.1509976879154882e-05,0.0,0.0,0.0,1.9586210111744755e-06,0.0007002353525122635
0.0,0.0,6.276318671477843e-08,0.0,0.0,0.00021148574164873879,0.0,0.0
1.6499399874552698e-06,4.818513440739254e-08,0.00021956493780741498,0.0,0.0,1.6209356578046316e-06,0.0,0.0
0.0,0.0,3.2496331674689445e-05,0.0,0.0,0.0,0.0,0.0
1.032479669196085e-08,0.0,2.2655946407492894e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.2295672537200294e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.4122364921451135e-06,0.0,0.0,0.0,2.8511335051558463e-07,8.449033213116716e-05
3.9264175144871756e-07,0.0,-0.00024325014919577103,0.0,4.87303591929497e-07,0.0,0.0,0.0
0.0,1.8276565703897066e-05,6.570585869443589e-07,0.0,0.0,0.0,0.0,0.0
6.604029145518051e-09,0.0,-8.044143647643658e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-9.33727587023867e-05,0.0,0.0,0.0,0.0,0.0
3.754853196400637e-08,0.0,-6.434182284262013e-05,0.0,0.0,0.0,0.0,0.0
1.784069736814964e-08,0.0,-3.423260510674275e-05,0.0,0.0,0.0,0.0,0.0
1.2436057901146165e-08,0.0,-1.9299854125428424e-05,0.0,0.0,0.0,0.0,0.0
2.482500628672581e-09,0.0,-1.5209232267064061e-05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.8340264748959345e-06,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.050975019923927e-07,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.1146767840000456e-07,0.0,0.0,0.0,0.0,0.0
1.306422410684908e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.512261558214065e-07,0.0,0.0,0.0,0.0,0.0
1.097726570464774e-09,0.0,4.468204542749718e-07,0.0,0.0,0.0,0.0,0.0
